name,website,description
CIMS,cims.com,"CIMS provides automated optical inspection solutions dedicated to enhancing production processes and yield in Printed Circuit Board (PCB), High Density Interconnect PCB (HDI PCB), Flex and Rigid-flex PCB and IC Substrates.CIMS addresses specific needs of all segments of PCB manufacturing industry with dedicated solutions based on advanced imaging and image processing technologies. CIMS solutions are applied to wide range of applications across those segments at multiple stages of PCB manufacturing process. || Cims is one of the global market leaders in PCB(printed circuit board) automatic optical inspection(AVI). | CIMS provides automated optical inspection solutions dedicated to enhancing production processes and yield in Printed Circuit Board (PCB), High Density Interconnect PCB (HDI PCB), Flex and Rigid-flex PCB and IC Substrates.CIMS addresses specific needs of all segments of PCB manufacturing industry with dedicated solutions based on advanced imaging and image processing technologies. CIMS solutions are applied to wide range of applications across those segments at multiple stages of PCB manufacturing process. | CIMS provides automated optical inspection solutions, automated final/visual inspection solutions, metrology and add-on inspection options, system upgrade solutions as well as technical support and service dedicated to enhancing production processes and yield in Printed Circuit Board (PCB), High Density Interconnect PCB (HDI PCB), Flex and Rigid-flex PCB and IC Substrates.

CIMS addresses specific needs of all segments of PCB (including IC substrates) manufacturing industry with dedicated solutions based on advanced imaging and image processing technologies. CIMS solutions are applied to wide range of applications across those segments at multiple stages of PCB manufacturing process.

CIMS Website：www.cims.com
CIMS official Wechat account：CIMSChina"
DVC Machinevision,machinevision.nl,"mDVC sells vision components. They offer cameras, camera housings, frame grabbers, smart cameras, software, optics, and various accessories. They provide machine vision, industrial cameras, vision software, image processing, factory automation, quality grading, food inspection, seal inspection, label & print inspection, sports analysis, medical imaging, postal sorting, traffic control, and vision guided robotics. || DVC is a supplier of machine vision components. | mDVC sells vision components. They offer cameras, camera housings, frame grabbers, smart cameras, software, optics, and various accessories. They provide machine vision, industrial cameras, vision software, image processing, factory automation, quality grading, food inspection, seal inspection, label & print inspection, sports analysis, medical imaging, postal sorting, traffic control, and vision guided robotics. | DVC Machinevision bv has been the partner in Vision systems for OEMs in the Benelux since 2004 and together with our partners we supply vision solutions worldwide. This varies from the unique distribution of A-brand vision components to the development of customer specific vision systems for food, robot and sport applications. 

Investment in technological innovation is key to DVC. Through DVC, the customers will benefit directly of the latest developments in the vision market. Partnership is paramount in our close cooperation with OEMs and system integrators.

Value Added Imaging Modules, Besides selling vision components, DVC has developed and implemented several successful customer specific OEM modules. Despite the fact that we could serve various markets because of our extensive technological know-how, we focus especially on:
- The food industry
- Vision Guided Robotics (VGR)
- Sport (topsport) applications

DVC’s VAIM modules are created for machine builders whose core business doesn’t include the development and production of a camera inspection system. | DVC Machinevision bv has been the partner in Vision systems for OEMs in the Benelux since 2004 and together with our partners we supply vision solutions worldwide. This varies from the unique distribution of A-brand vision components to the development of customer specific vision systems for food, robot and sport applications. 

Investment in technological innovation is key to DVC. Through DVC, the customers will benefit directly of the latest developments in the vision market. Partnership is paramount in our close cooperation with OEMs and system integrators.

OEM Vision Modules

Besides selling vision components, DVC has developed and implemented several successful customer specific OEM modules. Despite the fact that we could serve various markets because of our extensive technological know-how, we focus especially on:
- The food industry
- Vision Guided Robotics (VGR)
- Sport (topsport) applications

DVC’s OEM modules are created for machine builders whose core business doesn’t include the development and production of a camera inspection system."
K | Lens,k-lens.de,"K|Lens pushes automated optical inspection with its customizable machine vision systems that focus on robustness, speed and traceability. Our unique combination of compact light field sensors and multiview AI provide unparalleled optical inspection for inline quality control. || K | Lens is a high-tech start-up developing a product range based on its proprietary multiview light-field technology | K | Lens is a tech start-up developing a product range based on the K|Lens technology, their innovative and patented image acquisition and processing technology. K|Lens technology has been invented at the Max-Planck-Institute for Informatics at Saarland University and further developed during an incubation period with IT Inkubator . | K|Lens pushes automated optical inspection with its customizable machine vision systems that focus on robustness, speed and traceability. Our unique combination of compact light field sensors and multiview AI provide unparalleled optical inspection for inline quality control. | We are a spin-off of the Max-Planck Institute for Computer Science and the University of Saarland in Germany. Our team is made up of experts in the fields of photonics and computer vision software engineering. We develop solutions based on our proprietary and patent-protected technology. We are also open to collaborations on alternative, scalable, software-based photonics products. Note: - This project has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement No 954933 - This project has received funding from the German Federal Ministry of Education and Research | We develop a lightfield lens based on our proprietary hardware and software solution allowing to record depth information with any digital camera. Our first product is directed to enthusiasts and pro-photographers and will allow for depth-based image editing opening up a new dimension in creative image composition.


Note:
- This project has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement No 954933
- This project has received funding from the German Federal Ministry of Education and Research"
PlatiScan,platiscan.de,"PlatiScan VI provides automated optical inspection systems for industrial quality control and defect detection. || PlatiScan VI provides automated optical inspection systems for industrial quality control and defect detection. | PlatiScan VI Automated Optical Inspection

Mit PlatiScan VI wurde ein neuartiges optisches Inspektionssystem (engl. visual inspection system) entwickelt.

Das System besteht aus einem handelsüblichen Windows-PC auf dem unsere spezielle Software installiert ist, die zur Auswertung der Bilder dient und die Bilderfassung wird realisiert durch eine herkömmliche Digitalkamera in einer individuell gewünschten Konfiguration als ""Standalone"" oder ""Integrated"" System.

Unser PlatiScan VI System wurde der menschlichen Vorgehensweise einer manuellen Sichtprüfung nachgebildet, so kann eine manuelle Sichtprüfung per Computer automatisiert werden. Hierdurch wird die Fehlererkennungsrate und die gesamte Testabdeckung deutlich erhöht.

Unter anderem sind bereits heute folgende Applikationen realisiert worden:

    * Board-Check
    * LED-Check
    * Display-Check
    * Jet-Test

Natürlich sind mit dem PlatiScan VI System auch andere Anwendungsgebiete möglich.
Sprechen Sie uns doch einfach heute noch an und lassen Sie sich über die Lösung Ihrer individuellen Testbedürfnisse beraten."
Worldwide Quality Control,worldwidequalitycontrol.com,"ABOUT US 
Worldwide Quality Control (formerly Asia Quality Control) was established in 2011 with a clear vision in mind: to deliver top-notch quality inspection services that help businesses achieve their quality goals and maximize their global market success. 

With over more than 10 years of industry experience, our team of engineering experts is committed to providing the highest quality services to our clients in 

OUR SERVICES
# Our Quality Inspection Services:
•	Pre-production Inspections: We scrutinize raw materials, components, and processes before production commences to prevent costly errors.
•	In-process Inspections: We monitor the manufacturing process to ensure consistent product quality throughout production.
•	Pre-shipment Inspections: We perform thorough quality checks before shipment to avoid costly returns and recalls.
•	Production Monitoring: We perform day to day monitoring of your production
•	Defectives Sorting: We perform sorting of defectives products on your proudction line.


# Our Supplier Audit Services:
•	Supplier Qualification Audits: We assess supplier capabilities to meet your quality and compliance requirements.
•	Supplier Performance Audits: We conduct regular audits to ensure suppliers maintain their quality standards.
•	Compliance Audits: We ensure suppliers adhere to all industry standards and regulatory requirements.

# Our other Services:
- Defects Root Cause Analysis and Resolution
- Quality Control checklist establishment

# Product Testing & Certification
- Lab Testing
- Product Certification

# Industries:
Automotives, Railway, Aerospace, Technical and Industrial, Electronic, Mechanical Parts, Building and Construction, Medical Devices and Supplies, Food, Consumer  

CONTACT US
If you are in search of reliable quality inspection services in Worldwide, Worldwide Quality Control is here to assist you. || Worldwide Quality Control is a quality assurance company that provides supplier audit and product laboratory test management services. | ABOUT US 
Worldwide Quality Control (formerly Asia Quality Control) was established in 2011 with a clear vision in mind: to deliver top-notch quality inspection services that help businesses achieve their quality goals and maximize their global market success. 

With over more than 10 years of industry experience, our team of engineering experts is committed to providing the highest quality services to our clients in 

OUR SERVICES
# Our Quality Inspection Services:
•	Pre-production Inspections: We scrutinize raw materials, components, and processes before production commences to prevent costly errors.
•	In-process Inspections: We monitor the manufacturing process to ensure consistent product quality throughout production.
•	Pre-shipment Inspections: We perform thorough quality checks before shipment to avoid costly returns and recalls.
•	Production Monitoring: We perform day to day monitoring of your production
•	Defectives Sorting: We perform sorting of defectives products on your proudction line.


# Our Supplier Audit Services:
•	Supplier Qualification Audits: We assess supplier capabilities to meet your quality and compliance requirements.
•	Supplier Performance Audits: We conduct regular audits to ensure suppliers maintain their quality standards.
•	Compliance Audits: We ensure suppliers adhere to all industry standards and regulatory requirements.

# Our other Services:
- Defects Root Cause Analysis and Resolution
- Quality Control checklist establishment

# Product Testing & Certification
- Lab Testing
- Product Certification

# Industries:
Automotives, Railway, Aerospace, Technical and Industrial, Electronic, Mechanical Parts, Building and Construction, Medical Devices and Supplies, Food, Consumer  

CONTACT US
If you are in search of reliable quality inspection services in Worldwide, Worldwide Quality Control is here to assist you."
ATHENAIS,athenais.tech,"ATHENAIS SA develops AI-based systems for automated visual inspection and predictive analytics in industrial environments. The company offers defect detection solutions that optimize Cognex ViDi and Halcon MVTec configurations from customer OK/NOK image sets using an unsupervised hyperoptimization approach. Its AIS platform supports deployment of automatic optical inspection systems with configurable hardware such as lenses, cameras, inkers, and illumination. ATHENAIS SA also provides predictive analytics tools for anomaly detection in IoT and other operational signals. The portfolio includes MAP Pilot for image collection and MAP Inspect for manual image tagging and labeling by client quality teams or Athenais specialists. || ATHENAIS SA develops AI-based automated optical inspection, defect detection, and predictive analytics systems for industrial applications. | ATHENAIS SA develops AI-based systems for automated visual inspection and predictive analytics in industrial environments. The company offers defect detection solutions that optimize Cognex ViDi and Halcon MVTec configurations from customer OK/NOK image sets using an unsupervised hyperoptimization approach. Its AIS platform supports deployment of automatic optical inspection systems with configurable hardware such as lenses, cameras, inkers, and illumination. ATHENAIS SA also provides predictive analytics tools for anomaly detection in IoT and other operational signals. The portfolio includes MAP Pilot for image collection and MAP Inspect for manual image tagging and labeling by client quality teams or Athenais specialists. | Welcome to the new era of Automated Optical Inspection with deep learning.
contact@athenais.tech | Athenais Defects Detection and Predictive Analytics Systems
** Enhance your productivity with our Cognex Vidi / Halcon MvTec HyperOptimization software
- From your OK/NOK set of images our unsupervised HyperOptimization system will find the best Vidi or Halcon solution
- An AI driven approach that will beat all others parameters search.
------------------------------------------------------------------------------------------------------------------
** Deploy your Automatic Optical Inspection system with our AIS plateform
- The lowest COO of AOI systems worlwide thanks to the Open Hardware concept
- Automatic turret with Mitutoyo BF/DF lens, APC Basler Camera, Xandex Inker and totally configurable illuminations
- MapPilot Client server architecture compatible with Cognex Vidi / Vision Pro and Halcon MvTec
- Capture images, detect defects, measure and inspect automatically
------------------------------------------------------------------------------------------------------------------
** Boost your business or process with our Predictive Analytic toolset
- Looking for anomalies signal detection in your IOT/System?
- Looking for Predictive Analytics?"
Makar,makartechnologies.com,"Makar Technologies Limited provides Electronics Manufacturing Services (EMS) including design support, PCB assembly, and product build. The company caters to various market sectors and offers turnkey services for harsh environment electronics, particularly for the oil and gas industry. Their capabilities include high-performance 4-axis selective conformal coating and Automated Optical Inspection (AOI) systems. || Construction Management in Winchester, VA. | Makar Technologies Limited offers EMS, design support, PCB assembly, and product build for various sectors. | Makar Technologies Limited provides Electronics Manufacturing Services (EMS) including design support, PCB assembly, and product build. The company caters to various market sectors and offers turnkey services for harsh environment electronics, particularly for the oil and gas industry. Their capabilities include high-performance 4-axis selective conformal coating and Automated Optical Inspection (AOI) systems. | Makar Technologies Ltd is a world class EMS, Systems Wiring, Design & Test solutions provider and is led by a team highly experienced in electronics manufacturing and design; focused on delivering low cost, high quality electronic systems manufacturing solutions for our customers.
It's our team objective to develop and grow Makar Technologies Ltd into one of the UK's leading EMS solutions providers."
SYNERGX Technologies,synergx.com,"SYNERGX Technologies Inc. is a leading global supplier of automated optical inspection machines for the glass industry. || SYNERGX Technologies Inc. is a leading global supplier of automated optical inspection machines for the glass industry. | Company in Laval, Canada | WHO WE ARE

World-leading provider of non-contact inspection and metrology solutions designed to optimize glass manufacturing processes . Worldwide coverage with systems installed in over 30 countries

WHAT WE DO

SYNERGX offers a complete and integrated platform for each stage in the glass production process as well as individual systems to address specific inspection challenges.
Our systems inspect glass surface quality, edge precision, dimensional measurement, glass transmittance, and structural integrity. With user-friendly software and systems expertise, we help the top glass manufacturers worldwide to optimize their production process and minimize the defect rates beyond what is possible with manual inspection.

WHAT DEFINES US

SYNERGX strives to follow those three core values:

	Quality is what we build
	Precision in everything we pursue
	Innovation that drives us

The future of optical glass inspection starts here. 

ABOUT OUR TEAM 

Since 2004, we have built our reputation on the quality of our team. Across our organization of over 14 different nationalities, our values continue to be the center of our culture. We take pride in providing a work environment either in research & development or in operations where our employees travel across the world to support our customers.

Join our team a rapidly growing industrial tech company today!  For more details on job opportunities, visit us at www.synergx.com. 


--------------------------------------
Headquarters:

CANADA
2912 Rue Joseph-A.-Bombardier
Laval, QC H7P 6E3

FRANCE
8, Rue du baron Chouard, 67700 Monswiller. 
+33.686.82.74.73
info@synergx.com

USA
719 W Ellsworth Road, Suite 7
Ann Arbor, MI
+1.618.780.5486
info@synergx.com | SYNERGX Technologies Inc. distributes automated optical inspection systems to the glass processing industry. The company provides SURFX, an in-process transmission surface inspection system; DIMX, an automated non-contact dimensional measurement system; CURVE, a surface and paint inspection system; and EDGE, a non-contact and inline real-time inspection system. Additionally, it offers system installation and commissioning, telephone and remote troubleshooting, preventive and annual maintenance, onsite and classroom training, onsite calibration, performance auditing, remote system verification, and pre and post- installation site visiting services. The company caters to automotive, solar, app..."
MA micro automation,micro-automation.de,"MA micro automation manufactures, designs, and develops automation machinery for use in production and assembly systems. || MA micro automation manufactures, designs, and develops automation machinery for use in production and assembly systems. | MA micro automation GmbH, a JR Automation company, is a market leader in providing advanced automation solutions and digital technologies for Pharmaceutical, Medical, and In-vitro diagnostics applications. We provide a Total Seamless Solution from design for automation, simulation, process modules (for dispensing, filling, glueing, curing, etc.), high-speed side entry robotic takeout solutions supporting pre- and post-injection molding operations, precise & high-speed assembly and packaging solutions with Integrated Automated Optical Inspection and digital services (SCADA, MES integration, etc.). JR Automation is proudly part of the Hitachi Group of Companies and together support an extensive portfolio of installed systems worldwide.


Imprint

MA micro automation GmbH
Opelstrasse 1
68789 Sankt Leon-Rot
Germany

Commercial Register: HRB 710076
Registration court: Amtsgericht Mannheim

Represented by:
Joachim Hardt
Michael Alan Bostrom

Contact:
Phone: +49 6227 3412 0
E-mail: info@micro-automation.com

VAT ID:
Sales tax identification number according to Sect. 27 a of the Sales Tax Law:
DE 272 151 684

Person responsible for editorial:
MA micro automation GmbH
Opelstrasse 1
68789 Sankt Leon-Rot
Germany | MA micro automation GmbH, a JR Automation company, is a market leader in providing advanced automation solutions and digital technologies for Pharmaceutical, Medical, and In-vitro diagnostics applications. We provide a Total Seamless Solution from design for automation, simulation, process modules (for dispensing, filling, glueing, curing, etc.), high-speed side entry robotic takeout solutions supporting pre- and post-injection molding operations, precise & high-speed assembly and packaging solutions with Integrated Automated Optical Inspection and digital services (SCADA, MES integration, etc.). JR Automation is proudly part of the Hitachi Group of Companies and together support an extensive portfolio of installed systems worldwide.


Imprint

MA micro automation GmbH
Opelstrasse 1
68789 St. Leon-Rot
Germany

Phone: +49 6227 3412 0

E-Mail: info@micro-automation.com

CEOs: Joachim Hardt, Michael Alan Bostrom
Local Court of Mannheim, HRB 710076
VAT ID No.: DE 272 151 684 

MA micro automation GmbH is responsible for this content. | About Spezialmaschinenbau, Automatisierungstechnik, Produktions- und Montagesysteme, Mikromontage, Industrielle Bildverarbeitung, Augmented Automation Impressum MA micro automation GmbH Opelstraße 1 D-68789 St. Leon-Rot ... Telefon: +49 62 27 34 12-0 Fax: +49 62 27 34 12-990 E-Mail: info@micro-automation.de Geschäftsführer: Joachim Hardt Amtsgericht Mannheim HRB 710076 Ust-ID: DE 272 151 684 Für diesen Inhalt ist die MA micro automation GmbH verantwortlich. See More Additional Information Spezialmaschinenbau, Automatisierungstechnik, Produktions- und Montagesysteme, Mikromontage, Industrielle Bildverarbeitung, Augmented Automation Products Mikrosystem-Montage-Lösungen MRCcompact® MRCmedl® Vollautomatische Inspektion von Linsen und Optiken ... Automatisierungslösung in der In-Vitro-Diagnostik Kundenspezifische Lösungen Industrielle Bildverarbeitung Augmented Automation See More | With more than 170 employees, MA micro automation GmbH is one of the leading international companies in the field of automation technology and special machine construction.
Our customers receive the complete production equipment, this includes individual consultation, the design and implementation of the systems, and of course on-site after-sales service.
Our strength: The implementation of customer-specific automation solutions in the fields of medical technology, opto-electronic components and after-sales service.
Our technology makes it possible: Thanks to the modular structure, the variety of applications and processes and the simple adaptability, we can react quickly to changes in market demand. In view of the ever shorter product life cycles, this is a major competitive advantage.
Whether driver assistance cameras or contact lenses - the component spectrum of the products manufactured on our systems usually comprises
Dimensions from 1x1x1 mm up to 100x100x100 mm
Weights from a few grams to 2 kg
Cycle times from 0.1 second
There are little things, such as distinct customer proximity, extremely high quality and a basis of mutual trust which make a big difference."
Stratus Vision,stratusvision.com,Stratus Vision is a manufacturing company that develops automated optical inspection solutions for the automotive and electronic industries. || Stratus Vision is a manufacturing company that develops automated optical inspection solutions for the automotive and electronic industries. | AOI Systems for the Automotive & Electronic Industry
