name,website,description
Phoenix Contact,phoenixcontact.com,"Phoenix Contact GmbH & Co. KG provides electrification, networking, and industrial automation technology solutions. The Company offers cloud computing, software, marking, assembling, installation, switching, measuring, and related services. Phoenix Contact serves customers worldwide."
Amalfi Systems,amalfisystems.com,"Amalfi Systems offers networking, distributed systems, embedded applications, network management solutions, kernel-mode, device-driver development. They offer industrial automation solutions, distributed manufacturing systems, embedded systems software, and network infrastructure design. They provide a variety of services that help clients speed up the time it takes for their products to reach the market. They develop open industry standards that enable internet connectivity. For a large industrial company, they plan and develop a factory automation system."
Belden,belden.com,"Belden Inc. is an American, multinational, publicly traded company specializing in the design, manufacture, and distribution of end-to-end networking, security and connectivity products. The company serves the Industrial Automation Solutions, Smart Buildings and Broadband & 5G markets."
iSAM,isam-ag.de,"iSAM AG specializes in autonomous systems for bulk and container handling, automated processing of fiber-reinforced materials, and individual process automation. The company focuses on innovation in industrial automation, providing solutions for large-scale equipment such as autonomous grab ship unloaders for coal and iron. iSAM AG is known for its expertise in automating industrial processes, enhancing efficiency and productivity in various sectors."
IT+Robotics,it-robotics.it,"IT+Robotics is a manufacturing company specializing in advanced machine vision solutions for industrial automation. Their products and services include 3D vision systems for bin-picking, quality inspection, and logistics automation. They also develop custom machine vision projects tailored to specific client needs, such as metrology and in-line checks."
Orise,orise.com,Process Automation Solutions is a provider of automation engineering solutions in the industrial automation industry.
GEVA,gevaonline.com,GEVA is an industrial automation company that specializes in providing a range of automation solutions for hot metal forging processes.
EKB,ekb.nl,"EKB is a system integrator in industrial automation that specializes in cyber security, robotics, machines and artificial intelligence."
PROMEXX Technical Automation,promexx.nl,"PROMEXX Technical Automation delivers industrial automation services and control solutions for production lines and machine builders. It designs, engineers, and integrates PLC, HMI, and SCADA software, builds electrical panels, and commissions systems on site. Services include robotics and motion integration, machine vision, data acquisition, MES/IIoT connectivity, and functional safety upgrades. The team executes retrofit projects, new machine control, and line optimization from concept to handover. Support covers troubleshooting, lifecycle maintenance, and technical documentation. Consultancy assists with requirements, architecture, and standardization. Training prepares operators and technicians to use and maintain automated equipment."
Gesta,gestambh.de,"GESTA Society for electronic control and drive technology Ltd provides an industrial automation services such as project planning, control cabinet construction, plc programming and international commissioning of high-availability switchgear, as well as the design and implementation of optimized drive solutions are business."
SIKO,siko-global.com,SIKO-global is an Industrial Automation  that offer solutions for a wide range of different measuring tasks and applications.
